00:58:55:21,00:58:57:14,CROWD,1,speech,exclamation,none,Gump,;;;;;
00:58:58:14,00:59:00:00,JENNY,1,speech,regular,address,Forrest,;;;;;
00:59:00:02,00:59:01:13,ERZAEHLER,1,speech,regular,HS,Eine Frau steigt ins Bassin. ,;;;;;
00:59:01:14,00:59:02:19,JENNY,1,speech,regular,address,Forrest,;;;;;
00:59:02:21,00:59:05:01,ERZAEHLER,1,speech,regular,HS,Und watet durchs knietiefe Wasser Richtung Bühne.,;;;;;
00:59:03:06,00:59:42:19,OST,0,song,instrumental,,,;;;;;
00:59:06:07,00:59:07:08,FORREST,1,speech,regular,address,Jenny,;;;;;
00:59:07:18,00:59:08:18,JENNY,1,speech,regular,address,Forrest,;;;;;
00:59:09:00,00:59:11:16,ERZAEHLER,1,speech,regular,AND,Der springt von der Bühne und hetzt durch die Menge zum Bassin.,;;;;;
00:59:12:00,00:59:14:14,ERZAEHLER,1,speech,regular,HS,Jenny läuft glücklich lächelnd durchs Wasser auf ihn zu.,;;;;;
00:59:15:04,00:59:20:07,ERZAEHLER,1,speech,regular,HS;"NS,""Über ihrem weiten langen weißen Kleid trägt sie eine rot gestreifte Weste, die bis zu den Waden reicht."",";;;;
00:59:21:04,00:59:22:07,ERZAEHLER,1,speech,regular,HS,Forrest rennt ins Wasser.,;;;;;
00:59:23:22,00:59:24:02,JENNY,1,non,regular,none,aaaahhh,;;;;;
00:59:24:14,00:59:24:21,JENNY,1,non,regular,none,Ahhaha,;;;;;
00:59:24:24,00:59:26:04,ERZAEHLER,1,speech,regular,HS,Sie fallen sich in die Arme.,;;;;;
00:59:2#:##,00:59:2#:##,JENNY,1,non,regular,none,Ahhaha,###movie###;;;;;
00:59:35:00,00:59:37:20,FORREST (V.O.),1,speech,regular,HS,Das war der glücklichste Moment in meinem Leben.,;;;;;
00:59:37:23,00:59:38:22,ERZAEHLER,1,speech,regular,none,Abends in einem Camp.,;;;;;
00:59:38:23,00:59:40:02,JENNY,1,speech,regular,HS;"NS,""Siehst du, alle nehmen sie."",";;;;
00:59:##:##,00:59:##:##,JENNY,0,speech,regular,HS,Ich meine...,###movie; erzähler labert drüber###;;;;
00:59:40:03,00:59:42:13,FORREST (V.O.),1,speech,regular,HS,Wir waren wieder wie Pech und Schwefel.,;;;;;
00:59:43:17,00:59:45:04,FORREST (V.O.),1,speech,regular,HS,Sie führte mich in der Stadt herum.,;;;;;
00:59:45:14,00:59:48:09,FORREST (V.O.),1,speech,regular,HS,Und dann stellte sich mich auch ein paar von ihren neuen Freunden vor.,;;;;;
00:59:46:00,01:01:09:24,JIMI HENDRIX,0,song,regular,,“Hey Joe”,;;;;;
00:59:49:00,00:59:51:24,RUBEN,1,speech,regular,imperative,Wirst du wohl das Rollo runter machen! Und beweg deinen weißen Arsch vom Fenster weg!,;;;;;
00:59:52:10,00:59:54:06,RUBEN,1,speech,asking,question;"NS,""Weißt du nicht, dass wir im Krieg sind?"",";;;;
00:59:54:08,00:59:54:17,JENNY,1,speech,commanding,imperative,Hör auf!,;;;;;
00:59:54:18,00:59:55:11,JENNY,1,speech,regular,HS,Er ist in Ordnung.,;;;;;
00:59:55:12,00:59:56:04,JENNY,1,speech,regular,HS,Er ist in Ordnung.,;;;;;
00:59:56:08,00:59:57:08,JENNY,1,speech,regular,HS,Er gehört zu uns.,;;;;;
00:59:57:17,00:59:58:06,MASAI,1,speech,regular,HS,Ich werd dir jetzt mal was erzählen.,;;;;;
"00:59:58:07,00:59:58:09,WESLEY,1,speech,asking,question,""Verflucht nochmal, wo warst du?"",##exclamation###";;;;;
"00:59:58:10,01:00:07:03,MASAI,1,speech,regular,complex,""Wir haben den besten Vorsatz, unsere schwarzen Führer vor den rassistischen Übergriffen der Bullen zu schützen, vor denen, die unsere Schwarzen Führer misshandeln und unsere Frauen vergewaltigen und den Zusammenschluss der Schwarzen zerschlagen wollen."",";;;;;
"01:00:07:04,01:00:07:17,BLACK PANTHER,1,speech,regular,address,""Masai, Telefon."",#timings#";;;;;
01:00:08:04,01:00:10:10,ERZAEHLER,1,speech,regular,HS,Bei Jenny steht ein Weißer mit roter Armbinde.,;;;;;
01:00:10:13,01:00:11:11,WESLEY,1,speech,asking,question,Wer ist der Babykiller?,;;;;;
01:00:##:##,01:00:##:##,JIMI HENDRIX,0,singing,regular,foreign,,###;;;;;
"01:00:12:10,01:00:13:13,JENNY,1,speech,regular,HS,""Das ist mein guter, alter Freund."",";;;;;
01:00:13:14,01:00:14:15,JENNY,1,speech,regular,HS,Das ist Forrest Gump.,;;;;;
01:00:15:02,01:00:15:10,JENNY,1,speech,regular,address,Forrest,;;;;;
01:00:15:12,01:00:16:04,JENNY,1,speech,regular,HS,Das ist Wesley.,;;;;;
01:00:##:##,01:00:##:##,JIMI HENDRIX,0,singing,regular,foreign,,###;;;;;
01:00:16:18,01:00:18:08,JENNY,1,speech,regular,HS,Wir beide waren zusammen in Berkeley.,;;;;;
01:00:18:14,01:00:20:22,JENNY,1,speech,regular,HS,Wesley ist der Präsident vom SDS in Berkeley.,;;;;;
01:00:20:24,01:00:22:07,MASAI,1,speech,regular,HS,Und ich sag dir nochwas anderes.,;;;;;
01:00:22:12,01:00:26:08,MASAI,1,speech,regular,HS;NS;"NS2,""Wir sind dazu da, um Menschen zu schützen und all denen zu helfen, die unsere Hilfe brauchen."",";;;
01:00:##:##,01:00:##:##,JENNY,0,speech,regular,###,,###;;;;;
01:00:##:##,01:00:##:##,JIMI HENDRIX,0,singing,regular,foreign,,#lyrics von hey joe#;;;;;
01:00:26:12,01:00:27:02,MASAI,1,speech,regular,HS,Du musst wissen.,;;;;;
01:00:27:04,01:00:29:21,MASAI,1,speech,regular,HS,Wir die Black Panther sind gegen den verdammten Krieg in Vietnam.,;;;;;
"01:00:29:22,01:00:30:09,MASAI,1,speech,regular,none,""Ja, ja"",";;;;;
"01:00:30:10,01:00:35:19,MASAI,1,speech,regular,complex,""Wir sind gegen jeden Krieg, in dem schwarze Soldaten an die vordeste Front geschickt werden, um für ein Land zu sterben, das sie hasst."",";;;;;
01:00:35:20,01:00:38:03,ERZAEHLER,1,speech,regular,HS;"NS,""Forrest starrt zu Jenny und Wesley, die sich streiten."",";;;;
"01:00:35:##,01:00:35:##,MASAI,1,speech,regular,complex,""Wir sind gegen jeden Krieg, in dem Schwarze...####"",#movie only?#";;;;;
"01:00:38:04,01:00:43:11,MASAI,1,speech,regular,complex,""...kämpfen sollen. Gleichzeitig aber in ihrer eigenen Heimat misshandelt und umgebracht werden, wenn sie nachts friedlich in ihren Betten schlafen."",##hier ist nach erzähler im hörspiel wieder FG###";;;;;
01:00:43:12,01:00:44:16,ERZAEHLER,1,speech,regular,HS,Wesley ohrfeigt Jenny.,;;;;;
01:00:##:##,01:00:##:##,MASAI,1,speech,regular,###,,###im movie FG###;;;;;
01:00:##:##,01:00:##:##,JIMI HENDRIX,1,singing,regular,foreign,,###;;;;;
01:00:47:08,01:00:48:02,ERZAEHLER,1,speech,regular,none,In Zeitlupe,;;;;;
01:00:48:04,01:00:49:16,ERZAEHLER,1,speech,regular,HS,Forrests Augen weiten sich.,;;;;;
01:00:49:19,01:00:51:01,ERZAEHLER,1,speech,regular,HS,Er marschiert auf Wesley zu.,;;;;;
01:00:51:04,01:00:53:14,ERZAEHLER,1,speech,regular,AND,Stürzt sich auf ihn und fällt mit ihm über einen Tisch.,;;;;;
01:00:56:15,01:00:57:17,JENNY,1,speech,commanding,address;"imperative,""Forrest, hör auf damit!"",";;;;
01:00:58:20,01:00:59:11,JENNY,1,speech,commanding,imperative,Hör auf!,;;;;;
01:00:59:12,01:01:00:18,ERZAEHLER,1,speech,regular,HS,Er prügelt auf Wesley ein.,;;;;;
01:01:01:12,01:01:02:08,JENNY,1,speech,regular,address,Forrest,;;;;;
01:01:02:22,01:01:03:06,JENNY,1,speech,commanding,imperative,Hör auf!,;;;;;
01:01:04:09,01:01:05:00,JENNY,1,speech,commanding,imperative,Hör auf!,;;;;;
01:01:05:03,01:01:05:23,ERZAEHLER,1,speech,regular,HS,Sie zieht ihn weg.,;;;;;
01:01:06:09,01:01:06:19,WESLEY,1,non,regular,none,Errch,;;;;;
01:01:07:06,01:01:08:13,ERZAEHLER,1,speech,regular,HS,Wesley rappelt sich hoch.,;;;;;
01:01:08:15,01:01:09:14,ERZAEHLER,1,speech,regular;addendum,HS,fasst sich ins Gesicht.,;;;;
01:01:09:15,01:01:11:02,ERZAEHLER,1,speech,regular;addendum,HS,und sieht auf seine blutigen Hände.,;;;;
01:01:12:04,01:01:13:04,WESLEY,1,non,regular,none,ooooooohh,##kein non-speech i.e.S.###;;;;;
01:01:13:13,01:01:15:07,WESLEY,1,speech,regular,HS,Hätt ich dich bloß nicht mitgenommen.,;;;;;
01:01:15:16,01:01:18:04,WESLEY,1,speech,commanding,HS;"NS,""Ich hätte es wissen müssen, es kommt nur Scheisse und Suff dabei raus!"",";;;;
01:01:20:09,01:01:21:22,FORREST,1,speech,regular,HS,Er darf dich nicht schlagen.,;;;;;
01:01:21:24,01:01:22:13,FORREST,1,speech,regular,address,Jenny,;;;;;
01:01:23:14,01:01:25:00,ERZAEHLER,1,speech,regular,HS,Ein Schwarzer hält die Tür auf.,;;;;;
01:01:25:06,01:01:26:18,ERZAEHLER,1,speech,regular,HS,Andere haben ihre Waffen gezogen.,;;;;;
01:01:27:15,01:01:28:02,JENNY,1,speech,commanding,imperative,Komm jetzt!,;;;;;
01:01:28:03,01:01:28:17,JENNY,1,speech,regular,address,Forrest,;;;;;
01:01:29:07,01:01:30:07,ERZAEHLER,1,speech,regular,HS,Er sieht zum Anführer.,;;;;;
01:01:30:14,01:01:33:02,ERZAEHLER,1,speech,regular,HS,Der klopft sich mit dem Revolver auf die schwarze Lederjacke.,;;;;;
01:01:35:02,01:01:37:22,FORREST,1,speech,regular,HS;HS,Tut mir Leid. Ich wollte eure Black Panther Party nicht stören.,;;;;
01:01:38:07,01:01:41:02,ERZAEHLER,1,speech,regular,HS,Vor dem Weißen Haus geht Jenny mit ihm an einem Friedensmarsch vorbei.,;;;;;
01:01:41:11,01:01:43:03,JENNY,1,speech,regular,HS;"NS,""Er meint es nicht ernst, wenn er sowas tut."",";;;;
01:01:43:04,01:01:43:17,JENNY,1,speech,regular;addendum,none,Ehrlich nicht,;;;;
01:01:43:18,01:01:44:22,FORREST,1,speech,regular,HS,Ich würde dir nie wehtun.,;;;;;
01:01:44:23,01:01:45:07,FORREST,1,speech,regular,address,Jenny,;;;;;
"01:01:47:16,01:01:48:14,JENNY,1,speech,regular,HS,""Ja, das weiß ich."",";;;;;
01:01:48:15,01:01:49:04,JENNY,1,speech,regular,address,Forrest,;;;;;
01:01:49:09,01:01:51:12,ERZAEHLER,1,speech,regular,HS,Die Demonstranten halten Kerzen in den Händen.,;;;;;
01:01:51:17,01:01:52:21,FORREST,1,speech,regular,HS,Ich möchte gern dein...,;;;;;
01:01:53:07,01:01:54:09,FORREST,1,speech,regular;addendum,HS,...fester Freund sein.,;;;;
01:01:54:23,01:02:51:14,THE YOUNGBLOODS,0,song,regular,,“Get Together”,;;;;;
01:01:56:04,01:01:57:24,ERZAEHLER,1,speech,regular,HS,Im Gehen sehen sie sich kurz in die Augen.,;;;;;
01:01:58:05,01:01:59:08,ERZAEHLER,1,speech,regular,HS,Jenny senkt den Blick.,;;;;;
01:02:01:19,01:02:03:05,ERZAEHLER,1,speech,regular,HS,Sie wischt über Forrests Ärmel.,;;;;;
01:02:04:06,01:02:05:21,JENNY,1,speech,regular,HS,Diese Uniform ist wirklich irre.,;;;;;
01:02:05:22,01:02:06:09,JENNY,1,speech,regular,address,Forrest,;;;;;
01:02:08:00,01:02:09:08,JENNY,1,speech,regular,HS,Du siehst gut damit aus.,;;;;;
01:02:10:03,01:02:11:00,JENNY,1,speech,regular,none,Ganz ehrlich,;;;;;
01:02:12:11,01:02:13:05,JENNY,1,non,regular,none,uhmpf,;;;;;
01:02:15:00,01:02:15:16,FORREST,1,speech,asking,question,Weißt du was?,;;;;;
01:02:15:18,01:02:16:05,JENNY,1,speech,asking,none,Was,;;;;;
01:02:20:03,01:02:21:12,FORREST,1,speech,regular,none;"NS,""Schön, dass wir beide hier sind."",";;;;
01:02:21:13,01:02:22:19,FORREST,1,speech,regular;addendum,NS,Hier in unserer Hauptstadt,;;;;
01:02:23:04,01:02:24:16,ERZAEHLER,1,speech,regular,HS,Jenny hakt sich bei ihm unter.,;;;;;
01:02:##:##,01:02:##:##,THE YOUNGBLOODS,1,singing,regular,foreign,###lyrics###,#soundtrack lyrics#;;;;;
01:02:25:11,01:02:26:05,JENNY,1,speech,regular,HS,Das find ich auch.,;;;;;
01:02:26:06,01:02:26:18,JENNY,1,speech,regular,address,Forrest,;;;;;
01:02:27:05,01:02:29:04,FORREST (V.O.),1,speech,regular,HS,Wir sind die ganze Nacht spazieren gegangen.,;;;;;
01:02:29:05,01:02:30:02,FORREST (V.O.),1,speech,regular,none,Jenny und ich,;;;;;
01:02:30:08,01:02:31:20,FORREST (V.O.),1,speech,regular;addendum,HS,Und einfach nur geredet.,;;;;
01:02:32:00,01:02:32:24,ERZAEHLER,1,speech,regular,none,Jenny beim Trampen,;;;;;
01:02:33:04,01:02:36:13,FORREST (V.O.),1,speech,regular,HS;"NS,""Sie hat mir erzählt, wie viele Reisen sie gemacht hat."",indirekte Rede";;;;
01:02:36:17,01:02:40:04,FORREST (V.O.),1,speech,regular;addendum,NS;"NS2,""Und was für Wege sie entdeckt hat, um ihr Bewusstsein zu erweitern."",indirekte Rede";;;
01:02:40:05,01:02:41:02,ERZAEHLER,1,speech,regular,HS,Sie nimmt LSD.,;;;;;
01:02:41:03,01:02:43:12,FORREST (V.O.),1,speech,regular,NS;"NS2,""Wie sie gelernt hat, in Harmonie zu leben."",";;;;
01:02:44:07,01:02:46:14,FORREST (V.O.),1,speech,regular,HS,Das muss irgendwo im Westen sein.,;;;;;
01:02:46:19,01:02:48:16,FORREST (V.O.),1,speech,regular;addendum,HS,Denn sie war bis nach Kalifornien gekommen.,;;;;
01:02:4#:##,01:02:4#:##,JENNY,0,singing,regular,,###on walk of fame###,#lyrics#;;;;;
01:02:48:17,01:02:51:00,ERZAEHLER,1,speech,regular,none,Als Straßenmusikant auf dem 'Walk of Fame' in Hollywood,;;;;;
01:02:51:01,01:02:51:08,YOUNG HIPPIE,1,speech,regular,address,Hey,;;;;;
01:02:51:13,01:02:52:22,ERZAEHLER,1,speech,regular,none,Ein Langhaariger mit VW-Käfer,;;;;;
01:02:52:23,01:03:44:14,SCOTT MCKENZIE,1,song,regular,,“San Francisco”,;;;;;
01:02:53:03,01:02:54:18,YOUNG HIPPIE,1,speech,asking,question,Will einer mit nach San Francisco?,;;;;;
"01:02:55:11,01:02:56:02,JENNY,1,speech,regular,none,""Ja, ich"",";;;;;
01:02:56:18,01:02:57:11,YOUNG HIPPIE,1,speech,exclamation,none,Wahnsinn,;;;;;
01:02:57:21,01:02:##:##,SCOTT MCKENZIE,1,singing,regular,foreign,###lyrics###,#going to San Francisco#;;;;;
01:02:58:23,01:02:59:17,FORREST (V.O.),1,speech,regular,incomplete,Diese Nacht...,;;;;;
01:03:00:09,01:03:02:14,FORREST (V.O.),1,speech,regular,completion,...war für uns beide eine ganz besondere Nacht.,;;;;;
01:03:02:20,01:03:05:01,FORREST (V.O.),1,speech,regular,HS;"NS,""Ich hab mir gewünscht, dass sie nie zu Ende geht."",";;;;
01:03:05:03,01:03:05:14,ERZAEHLER,1,speech,regular,none,Morgens,;;;;;
01:03:05:15,01:03:07:04,FORREST,1,speech,regular,HS;"NS,""Ich wünschte, Du würdest nicht gehen."",";;;;
01:03:07:05,01:03:07:17,FORREST,1,speech,regular,address,Jenny,;;;;;
01:03:07:19,01:03:08:21,ERZAEHLER,1,speech,regular,none,An einem alten Bus.,;;;;;
01:03:09:02,01:03:10:00,JENNY,1,speech,regular,HS,Ich muss gehen.,;;;;;
01:03:10:01,01:03:10:17,JENNY,0,speech,regular,address,Forrest,;;;;;
01:03:10:20,01:03:12:04,ERZAEHLER,1,speech,regular,HS,Zögernd nähert sich Wesley.,;;;;;
01:03:12:05,01:03:12:14,WESLEY,1,speech,regular,address,Jenny,;;;;;
01:03:14:24,01:03:16:22,WESLEY,1,speech,regular,HS,Gestern ist alles ein bisschen außer Kontrolle geraten.,;;;;;
"01:03:17:20,01:03:20:20,WESLEY,1,speech,regular,HS,""Schuld ist der Krieg und der scheiss Lügner, der blöde Johnson."",";;;;;
01:03:21:02,01:03:22:14,ERZAEHLER,1,speech,regular,HS,Jenny hält den Blick gesenkt.,;;;;;
01:03:22:24,01:03:24:07,WESLEY,1,speech,regular,HS,Ich wollte dir nicht wehtun.,;;;;;
01:03:25:00,01:03:25:17,WESLEY,1,speech,regular,HS,Das weißt du doch.,;;;;;
01:03:25:23,01:03:27:03,ERZAEHLER,1,speech,regular,HS,Sie blickt ihn grimmig an.,;;;;;
01:03:29:01,01:03:30:02,FORREST,1,speech,asking,HS;"NS,""Weißt du, was ich denke?"",";;;;
01:03:32:07,01:03:33:03,FORREST,1,speech,regular,HS,Ich denke...,;;;;;
"01:03:34:13,01:03:37:09,FORREST,1,speech,regular,NS,""...Du solltest wieder nach Hause gehen, nach Greenbow Alabama!"",";;;;;
01:03:38:07,01:03:39:19,ERZAEHLER,1,speech,regular,HS,Er starrt Wesley böse an.,;;;;;
01:03:40:03,01:03:42:15,ERZAEHLER,1,speech,regular,AND,Der geht ein paar Schritte rückwärts und wendet sich kurz ab.,;;;;;
01:03:44:15,01:04:35:08,OST,0,song,instrumental,,,;;;;;
01:03:47:09,01:03:48:03,JENNY,1,speech,regular,address,Forrest,;;;;;
01:03:49:19,01:03:52:01,JENNY,1,speech,regular,HS,Wir beide leben in zwei verschiedenen Welten.,;;;;;
01:03:55:19,01:04:00:08,ERZAEHLER,1,speech,regular,HS,Forrest öffnet das blaue Band seiner goldenen Tapferkeitsmedaille mit fünfzackigem Stern.,;;;;;
01:04:01:07,01:04:02:04,FORREST,1,speech,regular,HS,Ich möchte dir...,;;;;;
01:04:03:02,01:04:03:20,FORREST,1,speech,regular;addendum,none,...das hier geben.,;;;;
01:04:03:21,01:04:04:08,FORREST,1,speech,regular,address,Jenny,;;;;;
01:04:04:16,01:04:06:01,ERZAEHLER,1,speech,regular,HS,Er legt sie in ihre Hand.,;;;;;
01:04:08:19,01:04:09:05,JENNY,1,speech,regular,address,Forrest,;;;;;
01:04:09:06,01:04:10:10,JENNY,1,speech,regular,HS,Die kann ich nicht behalten.,;;;;;
01:04:12:11,01:04:12:19,FORREST,1,speech,regular,none,Doch,;;;;;
01:04:12:20,01:04:13:04,FORREST,1,speech,regular,incomplete,Ich...,;;;;;
01:04:13:20,01:04:13:22,FORREST,1,non,regular,none,eh,;;;;;
"01:04:13:24,01:04:14:15,FORREST,1,speech,regular,HS,""Ich hab sie nur,..."",";;;;;
01:04:15:00,01:04:16:22,FORREST,1,speech,regular;addendum,NS;"NS2,""...weil ich gemacht hab, was du gesagt hast."",";;;
01:04:18:14,01:04:19:21,JENNY,1,speech,asking,question,Warum bist du so gut zu mir?,;;;;;
01:04:22:06,01:04:23:06,FORREST,1,speech,regular,HS,Du bist mein Mädchen.,;;;;;
01:04:25:11,01:04:26:22,JENNY,1,speech,regular,HS,Ich werd immer dein Mädchen sein.,;;;;;
01:04:27:08,01:04:28:07,ERZAEHLER,1,speech,regular,HS,Sie umarmt ihn.,;;;;;
01:04:33:01,01:04:34:20,ERZAEHLER,1,speech,regular,HS,Jenny geht mit Wesley zur Bustür.,;;;;;
01:04:35:08,01:05:10:11,THE BYRDS,1,song,regular,,“Turn! Turn! Turn!”,;;;;;
01:04:39:15,01:04:41:15,ERZAEHLER,1,speech,regular,HS,Beim Einsteigen lächelt sie Forrest an.,;;;;;
01:04:41:24,01:04:42:23,ERZAEHLER,1,speech,regular,HS,Er lächelt zurück. ,;;;;;
01:04:43:07,01:04:44:24,ERZAEHLER,1,speech,regular,HS,Wesley sieht nochmal ernst zu ihm. ,;;;;;
01:04:45:06,01:04:47:07,ERZAEHLER,1,speech,regular,HS,Forrest kneift finster die Augen zusammen.,;;;;;
01:04:49:##,01:04:49:##,THE BYRDS,1,singing,regular,###,###lyrics###,;;;;;
01:04:55:06,01:04:57:19,ERZAEHLER,1,speech,regular,AND,Jenny klopft gegen die Heckscheibe und winkt Forrest zu.,;;;;;
01:05:01:17,01:05:03:12,ERZAEHLER,1,speech,regular,HS,Sie macht das v-förmige 'Peace'-Zeichen.,;;;;;
01:05:03:17,01:05:04:13,ERZAEHLER,1,speech,regular,HS,Er erwidert es.,;;;;;
01:05:06:04,01:05:07:00,FORREST (V.O.),1,speech,regular,HS,Dann war sie weg.,;;;;;
01:05:07:19,01:05:08:12,FORREST (V.O.),1,speech,regular;addendum,none,...einfach so,;;;;
01:05:09:07,01:05:10:14,FORREST (V.O.),1,speech,regular;addendum,none,...wieder weg aus meinem Leben,;;;;
01:05:10:11,01:05:41:11,THE 5TH DIMENSION,0,song,regular,0,“Aquarius/Let the Sunshine In”,;;;;;
01:05:10:22,01:05:12:07,ERZAEHLER,1,speech,regular,none,Die Mondlandung im Fernsehen,;;;;;
"01:05:12:09,01:05:14:10,NEIL ARMSTRONG,1,broadcast,regular,foreign,""That's one small step for man,"",";;;;;
01:05:14:16,01:05:16:13,ERZAEHLER,1,speech,regular,HS,Das Gerät steht in einem Klinik-Aufenthaltsraum.,;;;;;
01:05:##:##,01:05:##:##,THE 5TH DIMENSION,1,singing,regular,foreign,###lyrics###,;;;;;
01:05:16:14,01:05:18:24,NEIL ARMSTRONG,1,speech,regular,foreign,One giant leap for mankind.,;;;;;
01:05:19:01,01:05:20:04,ERZAEHLER,1,speech,regular,HS,Die Stühle davor sind leer.,;;;;;
01:05:20:06,01:05:24:14,ERZAEHLER,1,speech,regular,HS;"NS,""Personal und Patienten gucken Forrest zu, der allein mit zwei Schlägern und drei Bällen Pingpong spielt."",";;;;
01:05:24:15,01:05:26:24,FORREST (V.O.),1,speech,regular,HS;"NS,""Ich hatte gedacht, ich muss zurück nach Vietnam."",";;;;
01:05:27:03,01:05:31:20,FORREST (V.O.),1,speech,regular,HS;NS;"NS2,""Aber stattdessen hatte man beschlossen, dass ich die Kommunisten am besten bekämpfen kann, wenn ich PingPong spiele."",";;;
01:05:31:24,01:05:36:11,FORREST (V.O.),1,speech,regular,AND;"NS,""Also kam ich zu einer Sondereinheit und reiste im Land herum, um die vielen Verwundeten aufzumuntern"",";;;;
01:05:36:12,01:05:39:01,FORREST (V.O.),1,speech,regular;addendum,NS;"NS2,""und um ihnen zu zeigen, wie man Ping Pong spielt."",";;;
01:05:39:20,01:05:45:21,FORREST,1,speech,regular,HS;"NS,""Ich war so gut, dasss ich ein paar Jahre danach auf Beschluss der Army in der Amerikanischen PingPong Nationalmannschaft spielte."",";;;;
01:05:41:12,01:06:02:09,THREE DOG NIGHT,0,song,regular,,“Joy Of The World”,;;;;;
01:05:45:24,01:05:50:05,FORREST (V.O.),1,speech,regular,HS;NS;"HS,""Wir waren die ersten Amerikaner, die das Land China besuchten, seit ner Millionen Jahre oder so."",";;;
01:05:50:18,01:05:52:11,FORREST (V.O.),1,speech,regular;"addendum,HS,""Deswegen hat auch irgendjemand gesagt,..."",";;;;
01:05:52:12,01:05:54:15,FORREST (V.O.),1,speech,regular,NS,...der Weltfrieden läge in unseren Händen.,indirekte Rede;;;;;
"01:05:54:16,01:05:56:09,FORREST (V.O.),1,speech,regular,HS,""Tz, dabei hab ich doch nur Ping Pong gespielt."",";;;;;
"01:05:56:18,01:05:57:18,FORREST (V.O.),1,speech,regular,NS,""Als ich wieder nach Haus kam,..."",";;;;;
01:05:58:05,01:06:00:02,FORREST,1,speech,regular,HS,...da war ich eine nationale Berühmtheit.,;;;;;
01:06:00:07,01:06:02:08,FORREST,1,speech,regular,HS,Ich war sogar noch berühmter als Pinoccio.,;;;;;
"01:06:02:23,01:06:04:14,DICK CAVETT,1,speech,regular,HS,""Und hier ist er, Forrest Gump."",";;;;;
01:06:04:15,01:06:05:04,DICK CAVETT,1,speech,regular,HS,Hier ist er.,;;;;;
01:06:05:02,01:06:15:17,OST,1,song,instrumental,,,#Einleitungsmusik für die Talkshow#;;;;;
01:06:05:06,01:06:07:02,ERZAEHLER,1,speech,regular,HS,Der Talkmaster Dick Cavett steht auf.,###setting ggf. eher###;;;;;
01:06:07:05,01:06:11:05,ERZAEHLER,1,speech,regular,HS,Forrest kommt in einem dunkelblauen Zweireiher mit Nationalmannschaftsemblem zu ihm.,;;;;;
01:06:11:14,01:06:12:08,DICK CAVETT,0,speech,regular,address,Mr. Gump,;;;;;
01:06:12:17,01:06:13:11,DICK CAVETT,0,speech,commanding,imperative,Setzen sie sich!,;;;;;
01:06:15:05,01:06:15:19,DICK CAVETT,1,non,regular,none,mhmhmhm,;;;;;
01:06:15:20,01:06:16:16,DICK CAVETT,1,speech,regular,address,Forrest Gump,;;;;;
01:06:16:17,01:06:17:10,DICK CAVETT,1,speech,regular,none,John Lennon,;;;;;
01:06:18:04,01:06:19:05,JOHN LENNON,1,speech,regular,none,Willkommen in der Heimat.,;;;;;
01:06:19:24,01:06:20:11,DICK CAVETT,1,speech,regular,HS,Muss ja ne tolle Reise gewesen sein.,;;;;;
01:06:20:12,01:06:21:05,DICK CAVETT,1,speech,asking,question,Können sie uns...,;;;;;
01:06:21:06,01:06:21:18,DICK CAVETT,1,non,regular,none,mhmhmhmhm,;;;;;
01:06:22:04,01:06:23:08,DICK CAVETT,1,speech,regular,HS;"NS,""...erzählen, wie China war."",";;;;
01:06:23:14,01:06:24:14,ERZAEHLER,1,speech,regular,HS,John Lennon raucht.,;;;;;
01:06:25:07,01:06:25:12,FORREST,1,non,regular,none,eh,;;;;;
01:06:25:21,01:06:27:05,FORREST,1,speech,regular,incomplete,In dem Land China...,;;;;;
"01:06:28:07,01:06:30:19,FORREST,1,speech,regular,completion,""...da, da haben die Leute so gut wie gar nichts."",";;;;;
01:06:30:20,01:06:32:09,JOHN LENNON,1,speech,asking,question;"NS,""Sie, Sie meinen, Sie besitzen nichts?"",";;;;
01:06:32:17,01:06:34:11,ERZAEHLER,1,speech,regular,HS,Forrest blickt John Lennon irritiert an.,;;;;;
01:06:35:07,01:06:36:09,FORREST,1,speech,regular,incomplete,Und ich China...,;;;;;
01:06:37:01,01:06:38:12,FORREST,1,speech,regular,completion,...da gehen sie nie in die Kirche.,;;;;;
01:06:39:13,01:06:40:18,JOHN LENNON,1,speech,regular,none,Also auch keine Religion,;;;;;
01:06:43:03,01:06:44:06,DICK CAVETT,1,speech,regular,HS,Das ist ja kaum zu glauben.,;;;;;
01:06:44:11,01:06:45:20,JOHN LENNON,1,speech,regular,NS;"HS,""Wenn du dir Mühe gibst, geht es."",";;;;
01:06:45:21,01:06:46:04,JOHN LENNON,1,speech,regular,address,Dick,;;;;;
"01:06:48:06,01:06:49:10,FORREST (V.O.),1,speech,regular,incomplete,""Ein Paar Jahre später,..."",";;;;;
"01:06:49:20,01:06:52:10,FORREST (V.O.),1,speech,regular,completion,""...da war der nette, Junge Mann aus England auf dem weg nach Hause."",";;;;;
"01:06:52:11,01:06:56:02,FORREST (V.O.),1,speech,regular,AND,""Er wollte zu seinem kleinen Sohn und als er ein paar Autogramme gab,..."",#grammar#";;;;;
"01:06:56:08,01:06:57:11,FORREST (V.O.),1,speech,regular,NS,""...hat ihn jemand erschossen,..."",#grammar#";;;;;
01:06:57:17,01:06:59:11,FORREST (V.O.),1,speech,regular;addendum,none,...ohne irgendeinen besonderen Grund.,;;;;
01:07:00:03,01:07:01:12,ERZAEHLER,1,speech,regular,HS,Forrest verlässt das Gebäude.,;;;;;
